date,value,category
2019-07-31,"99,82%",EUR/CZK
2019-08-31,"100,97%",EUR/CZK
2019-09-30,"101,09%",EUR/CZK
2019-10-21,"100,27%",EUR/CZK
2019-11-30,"99,71%",EUR/CZK
2019-12-31,"99,55%",EUR/CZK
2020-01-31,"98,46%",EUR/CZK
2020-02-29,"97,94%",EUR/CZK
2020-03-31,"103,89%",EUR/CZK
2020-04-30,"106,47%",EUR/CZK
2020-05-31,"106,56%",EUR/CZK
2020-06-30,"104,15%",EUR/CZK
2020-07-31,"103,57%",EUR/CZK
2020-08-31,"102,17%",EUR/CZK
2020-09-30,"104,42%",EUR/CZK
2020-10-31,"106,20%",EUR/CZK
2020-11-30,"103,35%",EUR/CZK
2020-12-31,"102,73%",EUR/CZK
2021-01-31,"102,03%",EUR/CZK
2021-02-28,"101,04%",EUR/CZK
2021-03-31,"102,24%",EUR/CZK
2021-04-30,"101,26%",EUR/CZK
2021-05-31,"99,78%",EUR/CZK
2021-06-30,"99,41%",EUR/CZK
2021-07-31,"100,07%",EUR/CZK
2021-08-31,"99,44%",EUR/CZK
2021-09-30,"99,16%",EUR/CZK
2021-10-31,"99,59%",EUR/CZK
2021-11-30,"99,19%",EUR/CZK
2021-12-31,"98,58%",EUR/CZK
2022-01-31,"95,63%",EUR/CZK
2022-02-28,"95,49%",EUR/CZK
2022-03-31,"97,65%",EUR/CZK
2022-04-30,"95,41%",EUR/CZK
2022-05-31,"97,08%",EUR/CZK
2019-07-31,"100,00%",EUR/PLN
2019-08-31,"102,11%",EUR/PLN
2019-09-30,"102,26%",EUR/PLN
2019-10-21,"100,77%",EUR/PLN
2019-11-30,"100,49%",EUR/PLN
2019-12-31,"100,30%",EUR/PLN
2020-01-31,"99,75%",EUR/PLN
2020-02-29,"100,40%",EUR/PLN
2020-03-31,"104,30%",EUR/PLN
2020-04-30,"106,65%",EUR/PLN
2020-05-31,"106,37%",EUR/PLN
2020-06-30,"104,30%",EUR/PLN
2020-07-31,"104,40%",EUR/PLN
2020-08-31,"103,27%",EUR/PLN
2020-09-30,"105,02%",EUR/PLN
2020-10-31,"106,43%",EUR/PLN
2020-11-30,"105,46%",EUR/PLN
2020-12-31,"105,12%",EUR/PLN
2021-01-31,"106,36%",EUR/PLN
2021-02-28,"105,46%",EUR/PLN
2021-03-31,"107,98%",EUR/PLN
2021-04-30,"106,99%",EUR/PLN
2021-05-31,"106,11%",EUR/PLN
2021-06-30,"105,65%",EUR/PLN
2021-07-31,"106,98%",EUR/PLN
2021-08-31,"107,17%",EUR/PLN
2021-09-30,"107,18%",EUR/PLN
2021-10-31,"107,75%",EUR/PLN
2021-11-30,"109,17%",EUR/PLN
2021-12-31,"108,25%",EUR/PLN
2022-01-31,"106,84%",EUR/PLN
2022-02-28,"106,98%",EUR/PLN
2022-03-31,"111,49%",EUR/PLN
2022-04-30,"109,06%",EUR/PLN
2022-05-31,"110,02%",EUR/PLN
2019-07-31,"100,84%",EUR/HUF
2019-08-31,"101,47%",EUR/HUF
2019-09-30,"103,11%",EUR/HUF
2019-10-21,"102,59%",EUR/HUF
2019-11-30,"103,31%",EUR/HUF
2019-12-31,"102,54%",EUR/HUF
2020-01-31,"103,50%",EUR/HUF
2020-02-29,"104,55%",EUR/HUF
2020-03-31,"107,20%",EUR/HUF
2020-04-30,"110,37%",EUR/HUF
2020-05-31,"108,82%",EUR/HUF
2020-06-30,"107,68%",EUR/HUF
2020-07-31,"108,72%",EUR/HUF
2020-08-31,"108,13%",EUR/HUF
2020-09-30,"111,65%",EUR/HUF
2020-10-31,"112,27%",EUR/HUF
2020-11-30,"111,55%",EUR/HUF
2020-12-31,"111,23%",EUR/HUF
2021-01-31,"111,25%",EUR/HUF
2021-02-28,"111,03%",EUR/HUF
2021-03-31,"113,35%",EUR/HUF
2021-04-30,"111,74%",EUR/HUF
2021-05-31,"109,56%",EUR/HUF
2021-06-30,"108,42%",EUR/HUF
2021-07-31,"110,67%",EUR/HUF
2021-08-31,"108,98%",EUR/HUF
2021-09-30,"109,17%",EUR/HUF
2021-10-31,"111,77%",EUR/HUF
2021-11-30,"113,15%",EUR/HUF
2021-12-31,"113,79%",EUR/HUF
2022-01-31,"111,24%",EUR/HUF
2022-02-28,"110,79%",EUR/HUF
2022-03-31,"116,76%",EUR/HUF
2022-04-30,"116,16%",EUR/HUF
2022-05-31,"118,29%",EUR/HUF